periodo,total_vendido
2019-02-01,1952110.2359640005
2019-03-01,1280808.89388
2019-04-01,959492.792421
2019-05-01,774051.1293189997
2019-06-01,615639.41384
2019-07-01,0.0
2019-08-01,4794654.369372
2019-09-01,183500.094807
2019-10-01,0.0
2019-11-01,1995190.011496
2019-12-01,1536213.4794399997
2020-01-01,122012854.52223907
2020-02-01,109664989.32890412
2020-03-01,133899817.78248605
2020-04-01,183464869.9266297
2020-05-01,191672570.61950016
2020-06-01,146681020.42130184
2020-07-01,138579711.53406718
2020-08-01,150057010.896471
2020-09-01,132450502.34847587
2020-10-01,93326473.76914802
2020-11-01,121166502.583211
2020-12-01,121466358.885055
2021-01-01,117001798.73718996
2021-02-01,104529161.10751586
2021-03-01,95188078.6008873
2021-04-01,119731367.94289586
2021-05-01,94557797.87701611
2021-06-01,123615507.41367379
2021-07-01,124693577.78363596
2021-08-01,97924199.03987393
2021-09-01,152226573.7777461
2021-10-01,119600143.56299202
2021-11-01,104272286.88425305
2021-12-01,81824750.40030612
2022-01-01,109081953.61852899
2022-02-01,96777248.27633002
2022-03-01,107622058.00304206
2022-04-01,106166789.12734592
2022-05-01,126012812.08228984
2022-06-01,116075136.77907209
2022-07-01,104421013.26839893
2022-08-01,119362745.70214802
2022-09-01,98600554.23690897
2022-10-01,102978245.32200316
2022-11-01,104627857.18910013
2022-12-01,96678453.25340793
2023-01-01,118035903.35863121
2023-02-01,106877985.10980512
2023-03-01,121148616.79506408
2023-04-01,97639018.48442592
2023-05-01,152062049.80682215
2023-06-01,117881130.25679596
2023-07-01,113188027.8118071
2023-08-01,111589027.7992142
2023-09-01,103681285.65945284
2023-10-01,125118073.27488293
2023-11-01,98615499.37502602
2023-12-01,89393503.92416005
2024-01-01,125020171.89841291
2024-02-01,114045244.87320594
2024-03-01,101564792.5403869
2024-04-01,116726336.33662105
2024-05-01,138759804.2729707
2024-06-01,92144698.26522793
2024-07-01,116464438.51761511
2024-08-01,100023936.83913499
2024-09-01,106025190.72944686
2024-10-01,102188658.708904
2024-11-01,136066785.6931309
2024-12-01,130540249.593023
2025-01-01,15429892.929664994
